Category,BNF Prefix
Antibacterials,0501
SABAs,0301011R0
SABAs,0301011V0
Riluzole,0409030R0
Opioids,040702
Gabapentinoids,0408010AE
Gabapentinoids,0408010G0
Triple Inhalers,0302000W0
Triple Inhalers,0302000Z0
Triple Inhalers,0302000AA
Triple Inhalers,0301011AB
Triple Inhalers,0302000Y0AAAAAA
Triple Inhalers,0302000Y0BB
Triple Inhalers,0301020R0AAAAAA
Triple Inhalers,0301020Q0BDAAAA
Triple Inhalers,0301020Q0BCAAAD
Triple Inhalers,0301020R0BBAAAA
Triple Inhalers,0301020S0AAAAAA
Triple Inhalers,0301020T0BBAAAA
Triple Inhalers,0301020T0BBAAAA
Triple Inhalers,0301020S0BBAAAA
Triple Inhalers,0301020Q0BBAAAA
Triple Inhalers,0301020Q0BBABAB
Triple Inhalers,0301020Q0BBACAC
Triple Inhalers,0301020Q0BBADAE
Triple Inhalers,0301020Q0BEABAB
Triple Inhalers,0301020Q0BEAAAA
Triple Inhalers,0301020Q0AAACAC
Triple Inhalers,0301020Q0AAADAD
Triple Inhalers,0301020Q0AAAAAA
Triple Inhalers,0301020Q0AAABAB
Triple Inhalers,0301020Q0AAAEAE
Triple Inhalers,0301020T0AAAAAA
Triple Inhalers,0301020T0AAAAAA
Triple Inhalers,0302000N0BGABBF
Triple Inhalers,0302000N0BGACBG
Triple Inhalers,0302000N0BGAAAZ
Triple Inhalers,0302000C0AABYBY
Triple Inhalers,0302000C0AABXBX
Triple Inhalers,0302000C0AACACA
Triple Inhalers,0302000C0AABZBZ
Triple Inhalers,0302000K0AABCBC
Triple Inhalers,0302000K0AAALAL
Triple Inhalers,0302000K0AAAMAM
Triple Inhalers,0302000K0AABBBB
Triple Inhalers,0302000K0AAAUAU
Triple Inhalers,0302000K0BHAAAM
Triple Inhalers,0302000K0BHABAU
Triple Inhalers,0302000N0AABFBF
Triple Inhalers,0302000N0AABJBJ
Triple Inhalers,0302000N0AABPBP
Triple Inhalers,0302000N0AABGBG
Triple Inhalers,0302000N0AABKBK
Triple Inhalers,0302000N0AABLBL
Triple Inhalers,0302000N0AABEBE
